CubeName	MeasureGroup	MeasureName	Visible	FormatString	AggregateType	DisplayFolder	SourceTable	SourceColumn	Type
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN FACT	Plan Countx	False	#,###	Sum		PLAN_FACT	PERIOD_ID	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN PERIOD FACT	Plan Period Count	True	#,###	DistinctCount	Supply Chain\Points of Distribution	PLAN_FACT	Plan Period Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN ITEM FACT	Plan Item Count	True	#,###	DistinctCount	Supply Chain\Points of Distribution	PLAN_FACT	Plan Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN CLUB FACT	Plan Club Count	True	#,###	DistinctCount	Supply Chain\Points of Distribution	PLAN_FACT	Plan Club Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN CLUB ITEM FACT	Plan Club Item Count	True	#,###	DistinctCount		PLAN_FACT	Plan Club Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY PLAN PERIOD FACT	LY Plan Period Count	True	#,###	DistinctCount	Supply Chain\Points of Distribution\TYLY	LY_PLAN_FACT	Plan Period Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY PLAN ITEM FACT	LY Plan Item Count	True	#,###	DistinctCount	Supply Chain\Points of Distribution\TYLY	LY_PLAN_FACT	Plan Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY PLAN CLUB FACT	LY Plan Club Count	True	#,###	DistinctCount	Supply Chain\Points of Distribution\TYLY	LY_PLAN_FACT	Plan Club Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY PLAN CLUB ITEM FACT	LY Plan Club Item Count	True	#,###	DistinctCount		LY_PLAN_FACT	Plan Club Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN CLUB ITEM FACT 2	Authorized Points of Distribution	True	#,##0	DistinctCount	Supply Chain\Points of Distribution	PLAN_FACT	Authorized POS Indicator Store Club Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY PLAN CLUB ITEM FACT 2	LY Authorized Points of Distribution	False	#,##0	DistinctCount	Supply Chain\Points of Distribution\TYLY	LY_PLAN_FACT	Authorized POS Indicator Store Club Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN ITEM FACT 1	Scan Item Count	True	#,###	DistinctCount	Sales\Scanning	PLAN_FACT	Scan Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY PLAN ITEM FACT 1	LY Scan Item Count	True	#,###	DistinctCount	Sales\Scanning\TYLY	LY_PLAN_FACT	Scan Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN CLUB FACT 1	Scan Club Count	True	#,###	DistinctCount	Sales\Scanning	PLAN_FACT	Scan Club Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY PLAN CLUB FACT 1	LY Scan Club Count	True	#,###	DistinctCount	Sales\Scanning\TYLY	LY_PLAN_FACT	Scan Club Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN PERIOD FACT 1	Scan Period Count	True	#,###	DistinctCount	Sales\Scanning	PLAN_FACT	Scan Period Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY PLAN PERIOD FACT 1	LY Scan Period Count	True	#,###	DistinctCount	Sales\Scanning\TYLY	LY_PLAN_FACT	Scan Period Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	PLAN CLUB ITEM FACT 1	Scan Club Item Count	True	#,###	DistinctCount	Sales\Scanning	PLAN_FACT	Scan Club Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	LY PLAN CLUB ITEM FACT 1	LY Scan Club Item Count	True	#,###	DistinctCount	Sales\Scanning\TYLY	LY_PLAN_FACT	Scan Club Item Key	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Adj Cost Amount	True	#,##0	Sum	Supply Chain\Returns & Adjustments	STORE_FACT	Adj Cost Amount	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Avg On Hand Cost Dollars	True	#,##0	Sum	Supply Chain\Inventory Position	STORE_FACT	Avg On Hand Cost Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Avg On Hand Sell Dollars	True	#,##0	Sum	Supply Chain\Inventory Position	STORE_FACT	Avg On Hand Sell Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Avg On Order Cost Dollars	True	#,##0	Sum	Supply Chain\Inventory Position	STORE_FACT	Avg On Order Cost Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Avg On Order Qty	True	#,##0	Sum	Supply Chain\Inventory Position	STORE_FACT	Avg On Order Qty	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Avg On Order Sell Dollars	True	#,##0	Sum	Supply Chain\Inventory Position	STORE_FACT	Avg On Order Sell Dollars	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Avg Unit Inv Sell	True	#,##0	Sum	Supply Chain\Inventory Position	STORE_FACT	Avg Unit Inv Sell	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Avg Unit Rec Cost	True	#,##0	Sum	Supply Chain\Inventory Position	STORE_FACT	Avg Unit Rec Cost	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Avg Unit Rec Sell	True	#,##0	Sum	Supply Chain\Inventory Position	STORE_FACT	Avg Unit Rec Sell	Core Measure
COFFIE_ALPHA_UNIIN_SAMCAT	STORE FACT	Claims Onhand Qty	True	#,##0	Sum	Supply Chain\Returns & Adjustments	STORE_FACT	Claims Onhand Qty	Core Measure
