date,open,high,close,low,volume,amount
2016-08-19,27.06,27.17,26.8,26.65,14500669.0,388620343.0
2016-08-18,27.06,27.44,26.98,26.96,16687091.0,453669554.0
2016-08-17,27.25,27.62,27.14,27.04,20671839.0,563861794.0
2016-08-16,27.16,27.38,27.13,27.05,24657544.0,670650737.0
2016-08-15,26.47,27.7,27.16,26.31,44081336.0,1194760104.0
2016-08-12,25.91,26.39,26.38,25.76,20619658.0,538338759.0
2016-08-11,26.06,26.47,25.95,25.95,20201677.0,529348066.0
2016-08-10,26.15,26.42,26.09,26.08,19729940.0,517793532.0
2016-08-09,26.04,26.42,26.15,25.93,20541367.0,538360266.0
2016-08-08,25.94,26.1,26.04,25.65,21284408.0,551653054.0
2016-08-05,25.26,26.75,26.14,25.18,43063161.0,1122084549.0
2016-08-04,25.23,25.29,25.22,25.03,7537658.0,189693157.0
2016-08-03,25.21,25.27,25.2,25.08,8990400.0,226454103.0
2016-08-02,25.18,25.3,25.29,25.04,7779418.0,196019747.0
2016-08-01,25.59,25.77,25.17,24.98,18550474.0,467952103.0
2016-07-29,25.03,25.95,25.72,25.03,32520157.0,836368432.0
2016-07-28,25.07,25.35,25.09,24.8,13922032.0,349052364.0
2016-07-27,25.61,26.04,25.13,25.0,27940745.0,713463113.0
2016-07-26,25.31,25.62,25.59,25.25,9923099.0,252918414.0
2016-07-25,25.26,25.47,25.27,25.25,7086258.0,179456437.0
2016-07-22,25.54,25.61,25.26,25.25,9239023.0,234720693.0
2016-07-21,25.41,25.69,25.61,25.37,11553505.0,295018937.0
2016-07-20,25.42,25.54,25.37,25.34,6560124.0,166890555.0
2016-07-19,25.41,25.55,25.45,25.18,8333150.0,211401429.0
2016-07-18,25.67,25.82,25.41,25.39,11438348.0,292493134.0
2016-07-15,25.74,25.83,25.7,25.52,11669799.0,299811202.0
2016-07-14,25.63,25.84,25.72,25.61,9896957.0,254489387.0
2016-07-13,25.84,26.14,25.7,25.65,27188643.0,703317690.0
2016-07-12,25.25,25.85,25.78,25.22,21657951.0,552978054.0
2016-07-11,25.3,25.62,25.23,25.21,15701447.0,398765271.0
2016-07-08,25.44,25.46,25.3,25.27,9830628.0,249160151.0
2016-07-07,25.38,25.65,25.5,25.24,19209750.0,489493871.0
2016-07-06,25.21,25.35,25.34,24.91,13372390.0,336708323.0
2016-07-05,25.26,25.45,25.28,25.2,11735755.0,296880647.0
2016-07-04,24.57,25.48,25.28,24.57,19015787.0,479680169.0
2016-07-01,24.92,25.03,24.79,24.68,9760203.0,242517606.0
2016-06-30,24.85,25.25,24.95,24.82,19119462.0,479058383.0
2016-06-29,24.78,24.85,24.58,24.49,10003538.0,246697291.0
2016-06-28,24.23,24.76,24.61,24.15,13296663.0,325221250.0
2016-06-27,23.76,24.28,24.26,23.76,8953433.0,216098592.0
2016-06-24,24.35,24.51,23.91,23.56,13334941.0,320652846.0
2016-06-23,24.53,24.53,24.32,24.22,6807188.0,165979823.0
2016-06-22,24.18,24.54,24.53,24.12,8091959.0,197347316.0
2016-06-21,24.35,24.9,24.25,24.23,12081654.0,296833898.0
2016-06-20,24.3,24.33,24.2,24.07,5981969.0,144613880.0
2016-06-17,24.13,24.57,24.29,24.13,7265966.0,177284888.0
2016-06-16,24.46,24.46,24.12,24.09,7644390.0,185140515.0
2016-06-15,23.85,24.57,24.44,23.76,10295106.0,253407828.0
2016-06-14,23.81,24.18,24.11,23.72,7095056.0,171547746.0
2016-06-13,24.52,24.56,23.81,23.76,10114691.0,248811977.0
2016-06-08,24.83,24.88,24.78,24.66,7231947.0,181575703.0
2016-06-07,24.76,24.94,24.8,24.7,6894396.0,173042765.0
2016-06-06,24.95,25.03,24.71,24.59,8088281.0,203170272.0
2016-06-03,24.82,25.13,24.86,24.74,10614562.0,267640185.0
2016-06-02,24.81,24.86,24.82,24.65,8328617.0,208842715.0
2016-06-01,24.99,25.09,24.77,24.71,15178642.0,382560247.0
2016-05-31,23.93,25.15,25.07,23.92,24017660.0,604560192.0
2016-05-30,23.89,24.06,23.89,23.67,4883647.0,117987048.0
2016-05-27,23.9,24.08,23.99,23.88,4597888.0,111682164.0
2016-05-26,23.9,24.04,23.97,23.6,6579550.0,158379650.0
2016-05-25,24.06,24.25,23.93,23.89,5722265.0,139464006.0
2016-05-24,24.16,24.16,23.91,23.9,5917701.0,143748808.0
2016-05-23,24.0,24.35,24.17,23.93,9801518.0,240135537.0
2016-05-20,23.68,23.9,23.87,23.53,6911490.0,165978048.0
2016-05-19,23.95,24.18,23.8,23.75,6142381.0,149223546.0
2016-05-18,24.21,24.24,23.94,23.71,11102470.0,269002783.0
2016-05-17,24.5,24.59,24.35,24.16,7623161.0,187900210.0
2016-05-16,24.05,24.42,24.41,23.95,7242618.0,177440489.0
2016-05-13,24.38,24.67,24.2,24.15,8289261.0,204673096.0
2016-05-12,24.51,24.55,24.45,24.1,11286472.0,278184811.0
2016-05-11,24.64,25.17,24.8,24.38,16885769.0,424467538.0
2016-05-10,24.47,24.6,24.35,24.28,8232238.0,203604496.0
2016-05-09,25.09,25.28,24.47,24.45,20704112.0,519244224.0
2016-05-06,25.34,25.87,25.18,25.15,27360042.0,706516800.0
2016-05-05,25.19,25.4,25.35,24.99,11878157.0,303703488.0
2016-05-04,25.18,25.4,25.25,25.12,16101287.0,411914784.0
2016-05-03,24.53,25.16,25.15,24.45,17963472.0,454686400.0
2016-04-29,24.48,24.67,24.55,24.3,9579382.0,237417520.0
2016-04-28,24.85,24.99,24.62,24.31,9488459.0,236784528.0
2016-04-27,24.78,25.11,24.79,24.71,12270487.0,309557824.0
2016-04-26,24.44,24.68,24.65,24.36,7552703.0,187605792.0
2016-04-25,24.64,24.64,24.34,24.1,9689499.0,238491504.0
2016-04-22,24.55,24.75,24.72,24.43,9978032.0,248786848.0
2016-04-21,24.77,25.02,24.64,24.57,10495512.0,263980304.0
2016-04-20,25.77,25.86,24.83,24.5,26537364.0,674644864.0
2016-04-19,25.62,25.88,25.86,25.31,14760095.0,382540416.0
2016-04-18,25.89,25.89,25.35,25.23,15448075.0,398311584.0
2016-04-15,26.03,26.07,25.94,25.77,11659277.0,305669344.0
2016-04-14,26.16,26.19,26.03,25.82,14504740.0,381683744.0
2016-04-13,25.61,26.32,25.98,25.61,31201176.0,824433536.0
2016-04-12,25.56,25.7,25.48,25.19,13246035.0,340789024.0
2016-04-11,25.68,25.92,25.66,25.61,20553826.0,536053568.0
2016-04-08,25.36,25.36,25.05,24.81,14844066.0,377478496.0
2016-04-07,26.09,26.13,25.44,25.4,18607040.0,484523360.0
2016-04-06,26.03,26.18,25.9,25.78,18961334.0,498672992.0
2016-04-05,25.68,26.27,26.13,25.5,20542044.0,539745600.0
2016-04-01,26.01,26.01,25.67,25.29,18737908.0,486084064.0
2016-03-31,26.17,26.44,26.04,25.89,26304274.0,695821248.0
2016-03-30,25.77,26.19,26.17,25.76,25184696.0,663200128.0
2016-03-29,26.27,26.27,25.55,25.31,31903444.0,831231552.0
2016-03-25,26.01,26.36,26.36,25.91,14588089.0,386179648.0
2016-03-24,26.3,26.4,25.86,25.83,20311460.0,538094976.0
2016-03-23,26.08,26.75,26.6,26.03,17982920.0,480011872.0
2016-03-22,26.41,26.59,26.22,26.08,26682180.0,711128960.0
2016-03-21,25.78,27.16,26.84,25.68,52258728.0,1405486464.0
2016-03-18,24.52,25.31,25.05,24.47,30755786.0,776415744.0
2016-03-17,24.0,24.58,24.43,23.84,23072334.0,566849088.0
2016-03-16,23.84,24.1,23.81,23.65,11352757.0,274356160.0
2016-03-15,23.91,24.06,23.8,23.63,10805593.0,260799488.0
2016-03-14,23.5,24.29,23.91,23.41,19611116.0,475629504.0
2016-03-11,22.96,23.45,23.22,22.93,8495685.0,199415280.0
2016-03-10,23.69,23.76,23.23,23.12,9400355.0,223931248.0
2016-03-09,23.7,23.8,23.55,23.39,10740279.0,256386448.0
2016-03-08,24.4,24.4,24.13,23.39,14618599.0,352497120.0
2016-03-07,24.26,24.41,24.15,23.94,13741917.0,337156832.0
2016-03-04,23.93,24.16,23.89,23.49,21317592.0,515375008.0
2016-03-03,24.16,24.27,24.0,23.93,18364560.0,448075840.0
2016-03-02,22.92,24.4,24.16,22.87,23970988.0,574111296.0
2016-03-01,22.24,23.12,22.9,22.09,16137690.0,367508128.0
2016-02-29,22.98,22.99,22.06,21.73,18031432.0,402993344.0
2016-02-26,22.96,23.19,23.01,22.63,13354439.0,310952896.0
2016-02-25,24.66,24.66,22.71,22.42,22386540.0,534756096.0
2016-02-24,24.51,24.78,24.68,24.24,14231720.0,353134944.0
2016-02-23,24.78,24.99,24.54,24.25,16172953.0,403143360.0
2016-02-22,24.38,24.88,24.77,24.16,19710154.0,490140448.0
2016-02-19,23.85,24.12,23.99,23.76,10452067.0,253502848.0
2016-02-18,24.11,24.49,23.88,23.85,18941944.0,463128672.0
2016-02-17,23.83,24.02,23.91,23.59,14775164.0,356345920.0
2016-02-16,23.06,23.94,23.83,23.06,17969572.0,430968896.0
2016-02-15,22.52,23.05,22.89,22.42,10450077.0,240212352.0
2016-02-05,23.51,23.52,23.13,23.1,11613023.0,274208832.0
2016-02-04,23.46,23.78,23.6,23.34,13860443.0,331005696.0
2016-02-03,23.16,23.37,23.28,22.9,12370256.0,288883520.0
2016-02-02,22.92,23.64,23.42,22.85,14756443.0,349014176.0
2016-02-01,23.11,23.26,22.83,22.52,14041828.0,325959776.0
2016-01-29,22.46,23.51,23.3,22.36,21165522.0,494161248.0
2016-01-28,22.57,23.48,22.31,22.12,14880957.0,342998816.0
2016-01-27,23.23,23.38,22.99,21.88,21465496.0,494320640.0
2016-01-26,25.16,25.16,23.08,23.01,22029712.0,537730688.0
2016-01-25,25.48,25.66,25.36,25.19,11836473.0,304696736.0
2016-01-22,25.24,25.35,25.18,24.5,13520042.0,342119136.0
2016-01-21,25.58,26.14,24.74,24.74,18521252.0,477439072.0
2016-01-20,26.24,26.38,25.88,25.68,20281600.0,534360800.0
2016-01-19,25.55,26.42,26.34,25.4,20291448.0,533914048.0
2016-01-18,24.56,25.83,25.51,24.56,17459796.0,447801120.0
2016-01-15,25.52,26.25,25.06,25.02,26465868.0,687678464.0
2016-01-14,23.86,25.48,25.39,23.78,23605068.0,592780480.0
2016-01-13,25.19,25.44,24.6,24.59,16979022.0,431772832.0
2016-01-12,25.19,25.48,24.95,24.7,20744584.0,527396032.0
2016-01-11,26.09,26.37,24.58,24.53,26102860.0,674881920.0
2016-01-08,26.79,27.13,26.58,25.41,27454980.0,739509760.0
