,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603299,井神股份,0.37,68.18,,14.12,,16138.05,76.42,,12-16
1,603223,恒通股份,0.56,,,31.46,,5060.56,19.38,,06-10
2,603808,歌力思,0.81,,3.1,31.68,0.94,9672.09,,,04-03
3,300442,普丽盛,0.75,,3.42,24.34,0.18,5617.28,,,04-03
4,300437,清水源,0.66,,3.32,22.34,0.53,3185.56,,,04-03
5,300424,航新科技,0.6,,2.6,26.05,1.06,6030.13,,,04-03
6,002750,龙津药业,1.39,,,45.86,1.52,6966.01,,,03-04
7,603012,创力集团,0.89,,3.9,42.87,0.41,19002.24,,,03-04
8,603519,立霸股份,0.85,,3.88,24.74,0.19,3976.71,,,03-03
9,002747,埃斯顿,0.69,,2.15,36.95,0.6,6237.35,,,03-03
10,603729,龙韵股份,1.45,-1.36,,27.9,0.75,7226.79,17.56,,03-03
11,603199,九华旅游,0.71,,,17.08,1.64,5852.79,,,03-03
12,300429,强力新材,0.56,,1.9,31.23,0.57,3317.22,,,03-03
13,603020,爱普股份,0.92,,4.35,23.28,0.69,10982.41,,,03-03
14,603869,北部湾旅,0.37,,2.17,18.9,0.35,6080.61,,,03-03
15,300374,恒通科技,0.7,,,21.37,-0.05,5089.76,,,03-03
16,603898,好莱客,0.63,,1.82,43.68,1.07,4629.42,,,02-02
17,300421,力星股份,0.66,,2.86,28.26,0.28,4646.83,,,02-02
18,603118,共进股份,0.65,,3.73,22.82,2.1,13752.96,,,02-02
19,603828,柯利达,0.64,,2.47,29.86,0.91,5768.89,,,02-02
20,300420,五洋科技,0.57,,2.66,27.0,0.3,3415.45,,,02-02
21,603015,弘讯科技,0.47,,2.37,25.18,0.22,7080.81,,,02-02
22,002745,木林森,0.27,-67.47,3.93,23.18,0.72,10708.52,5.05,,02-02
23,300425,环能科技,0.88,,4.91,21.32,-0.07,4630.77,,,02-02
24,603969,银龙股份,0.4,,,14.38,-0.55,5954.72,,,02-02
25,002743,富煌钢构,0.64,12.28,,15.67,0.87,5793.6,25.78,,02-02
26,603997,继峰股份,0.38,,1.16,36.19,0.51,13823.22,,,02-02
27,002742,三圣特材,1.21,,5.54,24.63,0.46,8723.26,,,02-02
28,603222,济民制药,0.57,,3.19,19.9,0.27,6777.5,,,02-02
29,300465,高伟达,0.51,,1.83,37.39,0.64,5121.71,,,01-28
30,002753,永东股份,0.89,,,21.85,-0.1,6548.95,,,01-26
31,300414,中光防雷,0.59,,2.46,27.25,0.19,3522.2,,,01-21
32,603021,山东华鹏,0.65,,,14.09,0.4,5105.82,,,01-21
33,300439,美康生物,0.63,,2.22,68.56,1.0,5332.81,,,01-21
34,300404,博济医药,0.53,,2.74,21.58,0.2,2644.08,,,01-21
35,300464,星徽精密,0.51,,2.91,19.88,0.26,3082.6,,,01-20
36,300455,康拓红外,0.5,,1.88,29.35,0.33,5237.9,,,01-15
37,300447,全信股份,0.61,,2.79,24.55,0.06,3711.73,,,01-15
38,603883,老百姓,0.49,,2.69,20.26,0.66,9896.33,,,01-15
39,603338,浙江鼎力,0.8,,2.9,33.11,1.28,3903.38,,,01-09
40,603799,华友钴业,0.4,0.0,,10.45,0.35,17585.53,11.77,,01-07
41,002768,国恩股份,0.61,,,29.0,0.49,3640.52,,,01-07
42,603698,航天工程,0.46,,,28.62,0.23,14921.18,,,01-07
43,002749,国光股份,1.69,,2.43,71.94,1.07,10109.99,,,01-07
44,300419,浩丰科技,1.24,42.53,3.55,42.21,1.07,3813.84,42.38,,01-07
45,300415,伊之密,0.71,,1.87,45.69,0.51,6407.61,,,01-06
