code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300533,N冰川,软件服务,深圳,30.04,2500.0,10000.0,82066.8,79386.72,870.67,4427.12,0.44,0.887,7.49,7.12,20160818
300532,N今天,软件服务,深圳,31.27,2100.0,8400.0,77945.25,62830.55,1759.4,6943.68,0.83,0.376,6.33,3.71,20160818
603986,N兆易,半导体,北京,23.4,2500.0,10000.0,89517.36,78155.78,0.0,0.0,0.0,0.358,8.09,4.14,20160818
600187,国中水务,水务,黑龙江,0.0,145562.42,145562.42,393065.88,107565.05,78144.21,133744.56,0.92,-0.007,1.74,3.2,19981111
000652,泰达股份,批发业,天津,929.15,146567.31,147557.39,2969607.5,2208090.0,23280.13,49967.1,0.34,0.002,2.11,2.85,19961128
000861,海印股份,房产服务,广东,93.09,186051.2,224986.3,790421.88,388926.38,12973.37,0.0,0.0,0.015,1.26,4.53,19981028
600936,广西广电,影视音像,广西,40.29,30000.0,167102.63,557745.69,129443.47,285125.06,2530.36,0.02,0.114,1.58,5.83,20160815
002047,宝鹰股份,装修装饰,深圳,78.4,68241.78,126310.14,692666.0,583628.06,14064.49,105395.72,0.83,0.043,1.97,6.78,20050531
601997,贵阳银行,银行,贵州,11.02,50000.0,229859.19,28492688.0,0.0,177319.7,124622.0,0.54,0.671,8.54,1.73,20160816
002619,巨龙管业,水泥,浙江,124.13,28157.48,80002.1,370231.06,89851.06,32955.6,263758.91,3.3,0.036,4.04,4.4,20110929
600579,天华院,化工机械,山东,0.0,25560.0,39207.05,137924.36,96497.65,23094.47,112410.02,2.87,-0.015,1.81,8.04,20020809
000019,深深宝Ａ,软饮料,深圳,0.0,37815.23,45162.03,108999.5,48176.44,35396.95,51818.67,1.15,-0.014,2.06,9.17,19921012
000736,中房地产,全国地产,重庆,0.0,13873.37,29719.39,946843.38,924562.63,4020.21,50896.95,1.71,-0.019,5.73,3.56,19970425
603663,三祥新材,矿物制品,福建,101.76,3355.0,13415.0,31196.27,20012.13,8652.71,4259.18,0.32,0.129,2.55,10.28,20160801
601595,上海电影,影视音像,上海,24.54,9350.0,37350.0,170166.19,85104.81,20603.67,838.15,0.02,0.329,3.23,5.0,20160817
002808,苏州恒久,元器件,江苏,61.08,3000.0,12000.0,36054.12,26694.83,6793.75,4095.76,0.34,0.133,3.4,4.79,20160812
000885,同力水泥,水泥,河南,0.0,42679.92,47479.92,580685.81,92848.65,314774.44,119025.63,2.51,-0.09,4.52,4.54,19990319
300535,达威股份,化工原料,四川,47.19,1494.0,5974.0,41037.59,22382.17,8433.51,7684.75,1.29,0.413,7.57,5.15,20160812
002569,步森股份,服饰,浙江,0.0,13749.57,14001.0,63998.67,49625.71,10019.35,31881.38,2.28,-0.165,3.54,9.1,20110412
300076,GQY视讯,电脑设备,浙江,0.0,36791.73,42400.0,110769.72,70481.96,23985.24,66815.06,1.58,-0.001,2.51,7.48,20100430
300528,幸福蓝海,影视音像,江苏,47.8,7763.0,31050.66,189342.77,129137.92,29931.4,55351.75,1.78,0.214,5.81,3.52,20160808
603861,白云电器,电气设备,广东,171.83,4910.0,40910.0,266820.28,178663.63,56301.0,34267.19,0.84,0.07,4.31,9.97,20160322
603159,上海亚虹,专用机械,上海,35.14,2500.0,10000.0,34383.96,19125.28,12137.55,1791.6,0.18,0.206,3.08,4.72,20160812
600898,三联商社,电器连锁,山东,240.92,25252.38,25252.38,64430.38,45792.55,11667.17,4507.93,0.18,0.03,1.43,10.19,19960418
300530,达志科技,化工原料,广东,51.33,1750.0,7000.0,29978.77,21553.43,1395.2,4039.11,0.58,0.327,5.27,6.36,20160809
603569,长久物流,仓储物流,北京,50.35,4001.0,40001.0,226149.34,183401.13,8709.03,337.23,0.01,0.391,2.92,13.47,20160810
601811,新华文轩,出版业,四川,39.21,9871.0,123384.1,1056788.88,465083.19,139101.94,207300.25,1.68,0.14,6.11,3.6,20160808
300527,华舟应急,专用机械,湖北,70.47,11570.0,46270.0,215044.3,160759.77,34960.1,29019.11,0.63,0.16,2.86,7.89,20160805
300381,溢多利,饲料,广东,221.75,3044.22,13558.5,255844.59,92216.68,75385.56,82767.21,6.1,0.078,10.88,6.38,20140128
300459,金科娱乐,化工原料,浙江,190.71,12965.62,52708.69,539948.81,218206.59,24248.77,401016.88,7.61,0.22,9.08,5.35,20150515
300331,苏大维格,元器件,江苏,487.11,12959.21,18600.0,71826.71,47758.94,20406.6,17116.35,0.92,0.029,2.64,10.54,20120628
300523,辰安科技,软件服务,北京,479.27,2000.0,8000.0,72850.05,58575.9,12479.75,8665.92,1.08,0.166,5.47,29.19,20160726
300531,优博讯,软件服务,深圳,58.93,2000.0,8000.0,36314.19,34644.09,591.16,2062.04,0.26,0.318,4.86,7.72,20160809
300521,爱司凯,专用机械,广东,340.57,2000.0,8000.0,29108.21,25952.76,1344.95,3513.45,0.44,0.073,3.93,25.44,20160705
603322,超讯通信,通信设备,广东,1788.33,2000.0,8000.0,64296.28,60751.57,2047.6,6455.45,0.81,0.01,4.0,18.03,20160728
300529,健帆生物,医疗保健,广东,100.1,4200.0,41200.0,77533.78,48296.48,25537.32,12.59,0.0,0.244,1.8,27.19,20160802
002329,皇氏集团,乳制品,广西,218.58,46194.75,83764.0,468333.19,183770.38,52331.15,130885.07,1.56,0.019,3.11,5.45,20100106
300525,博思软件,软件服务,福建,604.23,1710.0,6813.89,26181.35,11728.91,12041.23,4107.85,0.6,0.07,4.54,18.73,20160726
300515,三德科技,电器仪表,湖南,362.37,2500.0,10000.0,34506.59,24019.92,5107.28,5033.08,0.5,0.057,3.12,26.6,20160608
300526,中潜股份,专用机械,广东,113.55,2125.0,8490.74,60863.67,22848.28,8638.01,421.58,0.05,0.209,4.49,10.56,20160802
002806,华锋股份,元器件,广东,134.89,2000.0,8000.0,46273.96,25404.02,14690.7,321.58,0.04,0.167,4.0,11.29,20160726
002212,南洋股份,电气设备,广东,140.23,30109.15,51026.0,297491.28,226427.97,53431.3,54541.68,1.07,0.024,3.55,3.85,20080201
300247,乐金健康,医疗保健,安徽,270.56,36920.44,72219.03,192852.25,71425.71,28863.24,103975.88,1.44,0.011,2.05,6.03,20110729
000402,金 融 街,全国地产,北京,12.77,298696.0,298893.0,10760438.0,8466425.0,286492.34,688425.5,2.3,0.261,8.79,1.52,19960626
600977,中国电影,影视音像,北京,40.34,46700.0,186700.0,1367655.75,0.0,0.0,0.0,0.0,0.155,3.59,6.97,20160809
601968,宝钢包装,广告包装,上海,0.0,28333.33,83333.32,531743.13,212966.02,244901.67,75259.71,0.9,-0.021,2.39,4.24,20150611
300106,西部牧业,农业综合,新疆,0.0,21017.63,21133.23,254523.55,135199.5,62502.63,62071.41,2.94,-0.062,4.86,3.15,20100820
002306,中科云网,酒店餐饮,北京,0.0,61778.64,80000.0,17879.97,15153.65,899.53,25630.05,0.32,-0.01,0.01,530.27,20091111
002611,东方精工,轻工机械,广东,170.33,32146.42,64186.64,284071.09,154455.5,53468.81,47729.05,0.74,0.017,2.19,5.43,20110830
600533,栖霞建设,区域地产,江苏,159.1,105000.0,105000.0,1328076.75,1038148.19,3099.85,104372.65,0.99,0.009,3.97,1.47,20020328
600512,腾达建设,建筑施工,浙江,67.23,97080.54,101803.72,597035.25,434972.25,12272.71,63310.78,0.62,0.044,2.03,2.89,20021226
600747,大连控股,多元金融,辽宁,0.0,106432.84,146432.84,257723.91,229452.5,8265.28,99619.9,0.68,-0.009,1.39,3.42,19960916
000610,西安旅游,旅游服务,陕西,0.0,23513.59,23674.78,126173.36,84456.15,21709.81,39470.71,1.67,-0.033,3.29,4.7,19960926
000659,珠海中富,广告包装,广东,0.0,128570.25,128570.25,312852.0,84220.53,188713.84,26524.8,0.21,-0.038,0.78,7.8,19961203
002418,康盛股份,机械基件,浙江,131.79,55360.82,113640.0,404110.44,197238.02,98672.96,112736.22,0.99,0.021,1.71,6.34,20100601
600884,杉杉股份,服饰,浙江,47.62,82171.64,112276.5,1334205.88,751905.94,117527.61,333226.75,2.97,0.2,7.35,2.42,19960130
002436,兴森科技,元器件,深圳,169.88,32399.14,49596.92,382201.09,139643.31,161875.5,99975.06,2.02,0.039,4.46,5.97,20100618
002347,泰尔重工,机械基件,安徽,399.4,14392.87,22467.52,176920.88,116300.01,33602.69,74524.86,3.32,0.015,5.4,4.55,20100128
000656,金科股份,区域地产,重庆,15.12,377430.88,432626.0,9903365.0,9054190.0,268849.13,61851.36,0.14,0.14,3.07,1.52,19961128
600208,新湖中宝,全国地产,浙江,92.29,763663.38,859934.38,9484504.0,7560581.5,22195.97,867535.81,1.01,0.013,2.69,1.8,19990623
603519,立霸股份,家用电器,江苏,53.66,7687.95,16000.0,86255.18,73903.5,8457.45,26148.0,1.63,0.114,4.21,5.83,20150319
300084,海默科技,石油开采,甘肃,778.88,24947.66,32476.57,168928.02,61008.53,17829.65,60789.4,1.87,0.009,3.4,4.11,20100520
000007,全新好,酒店餐饮,深圳,151.8,20579.34,23096.53,55809.76,30773.88,7165.6,42324.12,1.83,0.033,1.63,12.34,19920413
002516,旷达科技,纺织,江苏,47.51,55893.5,132435.0,672052.0,250230.77,334360.28,71582.38,0.54,0.036,1.65,4.13,20101207
000672,上峰水泥,水泥,甘肃,0.0,81361.86,81361.97,452066.09,112562.22,245030.59,-48179.46,-0.59,-0.038,2.1,3.54,19961218
600776,东方通信,通信设备,浙江,179.63,95600.0,125600.0,373025.69,294082.75,20131.97,89252.81,0.71,0.013,2.37,4.07,19961126
000882,华联股份,百货,北京,107.61,188468.69,222608.64,1148469.75,359474.34,3202.99,346308.0,1.56,0.021,2.81,1.58,19980616
300510,金冠电气,电气设备,吉林,252.05,2180.0,8692.09,73214.52,60610.13,10638.21,27674.06,3.18,0.26,6.44,15.83,20160506
002606,大连电瓷,电气设备,辽宁,53.64,14792.91,20400.0,135081.3,77637.25,43563.09,32616.36,1.6,0.107,3.81,6.03,20110805
